height,time,type,date
0.4511641708003819,09:23:00,high,2020-11-10
0.4029410667155952,21:58:00,high,2020-11-10
0.5823327616448274,10:18:00,high,2020-11-11
0.5193209839990275,22:50:00,high,2020-11-11
0.7056348194924802,11:05:00,high,2020-11-12
0.6218135995702243,23:35:00,high,2020-11-12
0.8017398422353816,11:48:00,high,2020-11-13
0.696461156843829,00:17:00,high,2020-11-14
0.8571031406684956,12:30:00,high,2020-11-14
0.7347359657093903,00:58:00,high,2020-11-15
0.8640081093727789,13:11:00,high,2020-11-15
0.7331959702124242,01:39:00,high,2020-11-16
0.8212249251253805,13:52:00,high,2020-11-16
0.6935809136357599,02:20:00,high,2020-11-17
0.7340927349250054,14:34:00,high,2020-11-17
0.6225487876428062,03:03:00,high,2020-11-18
0.6137488086295888,15:18:00,high,2020-11-18
0.5310285306230275,03:49:00,high,2020-11-19
0.4758173303643832,16:04:00,high,2020-11-19
0.4337207245963075,04:41:00,high,2020-11-20
0.3396125733428186,16:59:00,high,2020-11-20
0.3498634493440876,05:43:00,high,2020-11-21
0.2300846118783109,18:09:00,high,2020-11-21
0.3046745907144039,07:02:00,high,2020-11-22
0.180153877062781,19:41:00,high,2020-11-22
0.3162735495121564,08:27:00,high,2020-11-23
0.20148190479609,21:08:00,high,2020-11-23
0.3675928665422567,09:33:00,high,2020-11-24
0.2598726910276927,22:08:00,high,2020-11-24
0.4301902280533763,10:21:00,high,2020-11-25
0.3270827302069299,22:52:00,high,2020-11-25
0.4899459576451235,10:59:00,high,2020-11-26
0.3919855626699767,23:27:00,high,2020-11-26
0.541298925587641,11:33:00,high,2020-11-27
0.4491629022684597,00:00:00,high,2020-11-28
0.5812060968069543,12:04:00,high,2020-11-28
0.4947281099222156,00:31:00,high,2020-11-29
0.6072326892845493,12:35:00,high,2020-11-29
0.5259410417522631,01:03:00,high,2020-11-30
0.6173476293434913,13:06:00,high,2020-11-30
0.541600268804214,01:35:00,high,2020-12-01
0.6101119335818332,13:39:00,high,2020-12-01
0.5421138039465488,02:08:00,high,2020-12-02
0.5848285400000258,14:13:00,high,2020-12-02
0.5291412156579457,02:43:00,high,2020-12-03
0.5417852901295312,14:50:00,high,2020-12-03
0.5052915763650648,03:23:00,high,2020-12-04
0.4830357862812286,15:32:00,high,2020-12-04
0.474643878788494,04:08:00,high,2020-12-05
0.4143275210652914,16:22:00,high,2020-12-05
0.4447243718223481,05:02:00,high,2020-12-06
0.3486849619659791,17:24:00,high,2020-12-06
0.4292748597367307,06:07:00,high,2020-12-07
0.3095340485215062,18:40:00,high,2020-12-07
0.4461575927210615,07:21:00,high,2020-12-08
0.3208525854038415,20:02:00,high,2020-12-08
0.502492015003742,08:34:00,high,2020-12-09
0.3811959564478765,21:17:00,high,2020-12-09
0.5842200366893737,09:39:00,high,2020-12-10
0.4660298824840274,22:19:00,high,2020-12-10
0.6685026511114683,10:36:00,high,2020-12-11
0.5515265224025647,23:12:00,high,2020-12-11
0.7359724261448343,11:26:00,high,2020-12-12
0.6216150778344911,00:01:00,high,2020-12-13
0.7735766398849397,12:14:00,high,2020-12-13
0.666611871276731,00:46:00,high,2020-12-14
0.7746098581594328,12:59:00,high,2020-12-14
0.6820030007300699,01:30:00,high,2020-12-15
0.7383925717173335,13:43:00,high,2020-12-15
0.6677956568999219,02:13:00,high,2020-12-16
0.6695533271494187,14:26:00,high,2020-12-16
0.6278402623505274,02:56:00,high,2020-12-17
0.5767629707814554,15:08:00,high,2020-12-17
0.5689070996963231,03:39:00,high,2020-12-18
0.4710658215690384,15:51:00,high,2020-12-18
0.49963615714674,04:24:00,high,2020-12-19
0.3642628768073804,16:37:00,high,2020-12-19
0.4297202881513985,05:12:00,high,2020-12-20
0.2681555346441595,17:28:00,high,2020-12-20
0.3697680230733289,06:06:00,high,2020-12-21
0.195676759802394,18:30:00,high,2020-12-21
0.3314604294527548,07:10:00,high,2020-12-22
0.1623194264942425,19:45:00,high,2020-12-22
0.3242947470502098,08:18:00,high,2020-12-23
0.1765772535531957,21:02:00,high,2020-12-23
0.347113333711926,09:21:00,high,2020-12-24
0.2259333017679071,22:05:00,high,2020-12-24
0.3888197127719478,10:14:00,high,2020-12-25
0.2913065520437743,22:54:00,high,2020-12-25
0.4383867540903612,10:58:00,high,2020-12-26
0.3603540101533056,23:36:00,high,2020-12-26
0.4882067953046148,11:38:00,high,2020-12-27
0.426147101433367,00:13:00,high,2020-12-28
0.5329713078248746,12:15:00,high,2020-12-28
0.4847783874145114,00:48:00,high,2020-12-29
0.56861558874645,12:51:00,high,2020-12-29
0.5341316381187201,01:23:00,high,2020-12-30
0.5917628358798415,13:27:00,high,2020-12-30
0.5728965303151543,01:58:00,high,2020-12-31
0.5994409749111262,14:04:00,high,2020-12-31
0.5996800513877288,02:33:00,high,2021-01-01
0.5891337717307827,14:42:00,high,2021-01-01
0.6126180537469811,03:12:00,high,2021-01-02
0.5593694668224439,15:24:00,high,2021-01-02
0.6099264596394759,03:53:00,high,2021-01-03
0.5109940809675797,16:09:00,high,2021-01-03
0.5915488548391071,04:40:00,high,2021-01-04
0.4491974978923723,17:01:00,high,2021-01-04
0.5617127014904174,05:34:00,high,2021-01-05
0.3862488486379437,18:03:00,high,2021-01-05
0.5315880211377844,06:37:00,high,2021-01-06
0.3433878309723948,19:16:00,high,2021-01-06
0.518774499080488,07:49:00,high,2021-01-07
0.3440544789893105,20:36:00,high,2021-01-07
0.536967322465687,09:04:00,high,2021-01-08
0.392951494367536,21:52:00,high,2021-01-08
0.5816073980127695,10:13:00,high,2021-01-09
0.4702730859189616,22:57:00,high,2021-01-09
