height,time,type
0.8458677349445572,2023-04-19T00:36:00+00:00,high
-0.8074977729372801,2023-04-19T06:56:00+00:00,low
0.7190124183929381,2023-04-19T13:00:00+00:00,high
-0.7299963675240345,2023-04-19T19:03:00+00:00,low
0.8473188164060288,2023-04-20T01:12:00+00:00,high
-0.7943155058389929,2023-04-20T07:31:00+00:00,low
0.6991871610278259,2023-04-20T13:34:00+00:00,high
-0.7000867992014487,2023-04-20T19:37:00+00:00,low
0.8007689469875048,2023-04-21T01:46:00+00:00,high
-0.740752427684128,2023-04-21T08:03:00+00:00,low
0.645063466508686,2023-04-21T14:08:00+00:00,high
-0.6359762122094215,2023-04-21T20:09:00+00:00,low
0.7156478131447885,2023-04-22T02:18:00+00:00,high
-0.6580112603796927,2023-04-22T08:34:00+00:00,low
0.5661225125673807,2023-04-22T14:40:00+00:00,high
-0.5466943190949959,2023-04-22T20:39:00+00:00,low
0.6043591801603994,2023-04-23T02:49:00+00:00,high
-0.5581375802705607,2023-04-23T09:03:00+00:00,low
0.4723572434919588,2023-04-23T15:12:00+00:00,high
-0.4417499053696584,2023-04-23T21:08:00+00:00,low
0.4794305203154141,2023-04-24T03:20:00+00:00,high
-0.45117425682211554,2023-04-24T09:31:00+00:00,low
0.3725795243896269,2023-04-24T15:46:00+00:00,high
-0.3293400699595265,2023-04-24T21:40:00+00:00,low
0.3512477720096041,2023-04-25T03:52:00+00:00,high
-0.34363911738011443,2023-04-25T10:03:00+00:00,low
0.27441488629073,2023-04-25T16:26:00+00:00,high
-0.21648904873656685,2023-04-25T22:19:00+00:00,low
0.22779663456990928,2023-04-26T04:32:00+00:00,high
-0.24022937815238965,2023-04-26T10:45:00+00:00,low
0.1891362588825243,2023-04-26T17:25:00+00:00,high
-0.116568513641198,2023-04-26T23:31:00+00:00,low
0.1218072996632976,2023-04-27T05:41:00+00:00,high
-0.15699209582214568,2023-04-27T12:13:00+00:00,low
0.15397769037946527,2023-04-27T19:17:00+00:00,high
-0.10041444411931291,2023-04-28T02:17:00+00:00,low
0.09139689039525947,2023-04-28T08:04:00+00:00,high
-0.1608116029163683,2023-04-28T14:34:00+00:00,low
0.21717920147464898,2023-04-28T21:09:00+00:00,high
0.7122853239767276,2023-04-09T02:46:00+00:00,high
-0.6599041710112923,2023-04-09T09:01:00+00:00,low
0.5642116437048251,2023-04-09T15:10:00+00:00,high
-0.5647744754740855,2023-04-09T21:08:00+00:00,low
0.6323279384526697,2023-04-10T03:24:00+00:00,high
