,height,time,type,date,datetime,moonphase
73,-0.5980106128509232,23:24:00,low,2020-12-17,2020-12-17,0.09
74,-0.4693993356776105,11:51:00,low,2020-12-18,2020-12-18,0.12
75,-0.504933498814229,00:04:00,low,2020-12-18,2020-12-18,0.12
76,-0.3832750653277482,12:39:00,low,2020-12-19,2020-12-19,0.15
77,-0.4110018236629678,00:47:00,low,2020-12-19,2020-12-19,0.15
78,-0.3057592750951609,13:34:00,low,2020-12-20,2020-12-20,0.19
79,-0.3256771686936691,01:35:00,low,2020-12-20,2020-12-20,0.19
80,-0.2519538716175596,14:40:00,low,2020-12-21,2020-12-21,0.22
81,-0.2592793772506939,02:35:00,low,2020-12-22,2020-12-22,0.25
82,-0.2365296547080086,15:55:00,low,2020-12-22,2020-12-22,0.25
83,-0.2243298123836313,03:46:00,low,2020-12-23,2020-12-23,0.28
84,-0.2623098347154137,17:05:00,low,2020-12-23,2020-12-23,0.28
85,-0.2274545920297758,04:58:00,low,2020-12-24,2020-12-24,0.31
86,-0.3159258126808327,18:02:00,low,2020-12-24,2020-12-24,0.31
87,-0.2600288553592087,05:58:00,low,2020-12-25,2020-12-25,0.35
88,-0.3822991957920144,18:48:00,low,2020-12-25,2020-12-25,0.35
89,-0.3080374227053082,06:48:00,low,2020-12-26,2020-12-26,0.38
90,-0.4511963663388651,19:27:00,low,2020-12-26,2020-12-26,0.38
91,-0.3610794391970123,07:31:00,low,2020-12-27,2020-12-27,0.41
92,-0.5154296570586265,20:03:00,low,2020-12-27,2020-12-27,0.41
93,-0.4125713182589774,08:09:00,low,2020-12-28,2020-12-28,0.44
94,-0.5695637650913807,20:37:00,low,2020-12-28,2020-12-28,0.44
95,-0.4582783492613949,08:46:00,low,2020-12-29,2020-12-29,0.48
96,-0.6097435453667039,21:10:00,low,2020-12-29,2020-12-29,0.48
97,-0.49525224450249,09:23:00,low,2020-12-30,2020-12-30,0.5
98,-0.6336115951834255,21:44:00,low,2020-12-30,2020-12-30,0.5
99,-0.5210763953433494,10:00:00,low,2020-12-31,2020-12-31,0.55
100,-0.6399437499704735,22:19:00,low,2020-12-31,2020-12-31,0.55
101,-0.5334741460621474,10:38:00,low,2021-01-01,2021-01-01,0.58
102,-0.628212821918541,22:55:00,low,2021-01-01,2021-01-01,0.58
103,-0.530579111097212,11:20:00,low,2021-01-02,2021-01-02,0.62
104,-0.5985403760412303,23:35:00,low,2021-01-02,2021-01-02,0.62
105,-0.5121261218387341,12:06:00,low,2021-01-03,2021-01-03,0.65
106,-0.552455953577497,00:19:00,low,2021-01-03,2021-01-03,0.65
107,-0.4816154274025116,12:58:00,low,2021-01-04,2021-01-04,0.69
108,-0.4947257224667682,01:09:00,low,2021-01-04,2021-01-04,0.69
109,-0.4491249518544256,14:00:00,low,2021-01-05,2021-01-05,0.72
110,-0.4362788811611381,02:10:00,low,2021-01-06,2021-01-06,0.75
111,-0.4326226252285866,15:13:00,low,2021-01-06,2021-01-06,0.75
112,-0.3963890116200971,03:23:00,low,2021-01-07,2021-01-07,0.79
113,-0.4506175956352274,16:30:00,low,2021-01-07,2021-01-07,0.79
114,-0.3955438536696602,04:43:00,low,2021-01-08,2021-01-08,0.83
115,-0.5048497511249757,17:44:00,low,2021-01-08,2021-01-08,0.83
116,-0.4361234141565439,05:57:00,low,2021-01-09,2021-01-09,0.87
117,-0.5774978750416478,18:48:00,low,2021-01-09,2021-01-09,0.87
118,-0.4993711170355918,07:02:00,low,2021-01-10,2021-01-10,0.9
119,-0.6468539038344769,19:43:00,low,2021-01-10,2021-01-10,0.9
120,-0.5622023021637578,07:59:00,low,2021-01-11,2021-01-11,0.94
121,-0.697136530090879,20:31:00,low,2021-01-11,2021-01-11,0.94
122,-0.6074523273106733,08:49:00,low,2021-01-12,2021-01-12,0.97
123,-0.7198410458138963,21:15:00,low,2021-01-12,2021-01-12,0.97
124,-0.6256147627939108,09:34:00,low,2021-01-13,2021-01-13,0.0
125,-0.7127765475308132,21:55:00,low,2021-01-13,2021-01-13,0.0
126,-0.6141472308432884,10:17:00,low,2021-01-14,2021-01-14,0.04
127,-0.6786901437888846,22:32:00,low,2021-01-14,2021-01-14,0.04
128,-0.576142767526793,10:56:00,low,2021-01-15,2021-01-15,0.07
129,-0.6235427173899408,23:07:00,low,2021-01-15,2021-01-15,0.07
130,-0.5184909300571443,11:34:00,low,2021-01-16,2021-01-16,0.1
131,-0.5544665112598676,23:39:00,low,2021-01-16,2021-01-16,0.1
132,-0.4496779764287261,12:10:00,low,2021-01-17,2021-01-17,0.13
133,-0.4777717791852344,00:11:00,low,2021-01-17,2021-01-17,0.13
134,-0.3777749630903788,12:48:00,low,2021-01-18,2021-01-18,0.17
135,-0.3977400801636434,00:44:00,low,2021-01-18,2021-01-18,0.17
136,-0.3096300470462396,13:29:00,low,2021-01-19,2021-01-19,0.2
137,-0.3171478712567036,01:22:00,low,2021-01-19,2021-01-19,0.2
138,-0.2526964929507513,14:22:00,low,2021-01-20,2021-01-20,0.25
139,-0.2405843403768509,02:11:00,low,2021-01-21,2021-01-21,0.26
140,-0.2205480370702837,15:33:00,low,2021-01-21,2021-01-21,0.26
141,-0.1825344274668331,03:25:00,low,2021-01-22,2021-01-22,0.3
142,-0.2333326679108448,16:59:00,low,2021-01-22,2021-01-22,0.3
143,-0.1723295739777979,05:00:00,low,2021-01-23,2021-01-23,0.33
144,-0.2913614688905629,18:12:00,low,2021-01-23,2021-01-23,0.33
145,-0.2167502472666673,06:19:00,low,2021-01-24,2021-01-24,0.36
146,-0.3719172418888595,19:06:00,low,2021-01-24,2021-01-24,0.36
147,-0.2906232757327096,07:16:00,low,2021-01-25,2021-01-25,0.39
148,-0.457141040416916,19:48:00,low,2021-01-25,2021-01-25,0.39
149,-0.3745759498791973,08:00:00,low,2021-01-26,2021-01-26,0.42
150,-0.5372060687313139,20:25:00,low,2021-01-26,2021-01-26,0.42
151,-0.4582277115775712,08:39:00,low,2021-01-27,2021-01-27,0.46
152,-0.6062509637775089,20:59:00,low,2021-01-27,2021-01-27,0.46
153,-0.5345755359156801,09:15:00,low,2021-01-28,2021-01-28,0.5
154,-0.6601081528447408,21:32:00,low,2021-01-28,2021-01-28,0.5
155,-0.5972688028920855,09:50:00,low,2021-01-29,2021-01-29,0.52
156,-0.6950285372831789,22:05:00,low,2021-01-29,2021-01-29,0.52
157,-0.6398232624512575,10:27:00,low,2021-01-30,2021-01-30,0.56
158,-0.7071111678196537,22:39:00,low,2021-01-30,2021-01-30,0.56
159,-0.6561244316702036,11:05:00,low,2021-01-31,2021-01-31,0.59
160,-0.6925994058172233,23:16:00,low,2021-01-31,2021-01-31,0.59
161,-0.6419282334618476,11:46:00,low,2021-02-01,2021-02-01,0.63
162,-0.6490982001528297,23:55:00,low,2021-02-01,2021-02-01,0.63
163,-0.5970771540289964,12:32:00,low,2021-02-02,2021-02-02,0.66
164,-0.5776254920571985,00:40:00,low,2021-02-02,2021-02-02,0.66
165,-0.5283994274607439,13:25:00,low,2021-02-03,2021-02-03,0.7
166,-0.4857629401542069,01:33:00,low,2021-02-03,2021-02-03,0.7
167,-0.4539214039619182,14:30:00,low,2021-02-04,2021-02-04,0.75
168,-0.3934525810668224,02:41:00,low,2021-02-05,2021-02-05,0.77
169,-0.4072181560700921,15:53:00,low,2021-02-05,2021-02-05,0.77
170,-0.3404970453404103,04:11:00,low,2021-02-06,2021-02-06,0.81
171,-0.4223928599246943,17:23:00,low,2021-02-06,2021-02-06,0.81
172,-0.3631772749250895,05:45:00,low,2021-02-07,2021-02-07,0.84
173,-0.4905735511493624,18:39:00,low,2021-02-07,2021-02-07,0.84
174,-0.4408244196005925,07:01:00,low,2021-02-08,2021-02-08,0.88
175,-0.5733086335585518,19:38:00,low,2021-02-08,2021-02-08,0.88
176,-0.5286958173268774,07:59:00,low,2021-02-09,2021-02-09,0.91
177,-0.6425651780313262,20:25:00,low,2021-02-09,2021-02-09,0.91
178,-0.5982589863276966,08:47:00,low,2021-02-10,2021-02-10,0.95
179,-0.6852590950069687,21:06:00,low,2021-02-10,2021-02-10,0.95
180,-0.6370701185950094,09:28:00,low,2021-02-11,2021-02-11,0.0
181,-0.6981129415056678,21:41:00,low,2021-02-11,2021-02-11,0.0
182,-0.6431754097064507,10:04:00,low,2021-02-12,2021-02-12,0.02
183,-0.6838480432941738,22:13:00,low,2021-02-12,2021-02-12,0.02
184,-0.6211429061246596,10:36:00,low,2021-02-13,2021-02-13,0.05
185,-0.6481045367348973,22:41:00,low,2021-02-13,2021-02-13,0.05
186,-0.5785642175562146,11:06:00,low,2021-02-14,2021-02-14,0.08
187,-0.5966011732076788,23:08:00,low,2021-02-14,2021-02-14,0.08
188,-0.5227700632163742,11:34:00,low,2021-02-15,2021-02-15,0.12
189,-0.5330287755916044,23:33:00,low,2021-02-15,2021-02-15,0.12
190,-0.4585205192517412,12:02:00,low,2021-02-16,2021-02-16,0.15
191,-0.4585092272636183,00:00:00,low,2021-02-16,2021-02-16,0.15
192,-0.3876877622776817,12:33:00,low,2021-02-17,2021-02-17,0.18
193,-0.3728829071251016,00:29:00,low,2021-02-17,2021-02-17,0.18
194,-0.3114148700398614,13:10:00,low,2021-02-18,2021-02-18,0.21
195,-0.2773020632690368,01:05:00,low,2021-02-18,2021-02-18,0.21
196,-0.2355339930613071,14:03:00,low,2021-02-19,2021-02-19,0.25
197,-0.1792834099701446,02:00:00,low,2021-02-20,2021-02-20,0.28
198,-0.1865580178819748,15:38:00,low,2021-02-20,2021-02-20,0.28
